___,_____,____ ______,,,,,,,,,,,,,,,,,,,,,,,
frequency,"1. ______, ______2. ___",,,,,,,,,,,,,,,,,,,,,,,,
frequently,______ ______,,,,,,,,,,,,,,,,,,,,,,,,
friendly,______,,,,,,,,,,,,,,,,,,,,,,,,
fringe,______,,,,,,,,,,,,,,,,,,,,,,,,
front,"____, _______",,,,,,,,,,,,,,,,,,,,,,,,
fruit,___,,,,,,,,,,,,,,,,,,,,,,,,
fruitful,"____, ____ _____",,,,,,,,,,,,,,,,,,,,,,,,
fruitless,"___ ___, ___",,,,,,,,,,,,,,,,,,,,,,,,
frustrate,"1. ____2. ____, ___",,,,,,,,,,,,,,,,,,,,,,,,
fuel,"_____, ___",,,,,,,,,,,,,,,,,,,,,,,,
fulfill,"______, ______, _____ ____",,,,,,,,,,,,,,,,,,,,,,,,
fumes,"____, ___",,,,,,,,,,,,,,,,,,,,,,,,
function,"1._______2. _____, ____3. _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
fund,"1. ____2. ___",,,,,,,,,,,,,,,,,,,,,,,,
fundamental,"__________, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
fundamentalist,_____ _____ __ ____ ___ ________,,,,,,,,,,,,,,,,,,,,,,,,
fundamentally,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
fur,_____,,,,,,,,,,,,,,,,,,,,,,,,
furnish,"____, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
furthermore,___ __ __,,,,,,,,,,,,,,,,,,,,,,,,
futile,"1. ___ _____2. ___",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 ,G,,,,,,,,,,,,,,,,,,,,,,,,
gain,"_______, _____",,,,,,,,,,,,,,,,,,,,,,,,
game,"1. ____2. ______ 3. _____",,,,,,,,,,,,,,,,,,,,,,,,
gap,___,,,,,,,,,,,,,,,,,,,,,,,,
garbage,"____, ___",,,,,,,,,,,,,,,,,,,,,,,,
garment,"1. ______, _____2. ____, ___, _____",,,,,,,,,,,,,,,,,,,,,,,,
gather,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
gathering,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
gaze,"_____ ___, ______, _____",,,,,,,,,,,,,,,,,,,,,,,,
general,____,,,,,,,,,,,,,,,,,,,,,,,,
generalize,______,,,,,,,,,,,,,,,,,,,,,,,,
generate,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
generation,"1. _____2. _____3. ___",,,,,,,,,,,,,,,,,,,,,,,,
generators,"1. _______, ______2. ______",,,,,,,,,,,,,,,,,,,,,,,,
generous,____,,,,,,,,,,,,,,,,,,,,,,,,
genesis,"________, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
genetics,"______, ___ ______",,,,,,,,,,,,,,,,,,,,,,,,
genuine,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
gestation,_____,,,,,,,,,,,,,,,,,,,,,,,,
gesture,_____,,,,,,,,,,,,,,,,,,,,,,,,
get on,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
gift,____,,,,,,,,,,,,,,,,,,,,,,,,
give rise,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
glare,"___ ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
glacier,_____,,,,,,,,,,,,,,,,,,,,,,,,
glimpse,"____, ___ ___",,,,,,,,,,,,,,,,,,,,,,,,
goal,"____, ___",,,,,,,,,,,,,,,,,,,,,,,,
globe,"______, ____-____",,,,,,,,,,,,,,,,,,,,,,,,
gloom,"________, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
glory,"___, _____",,,,,,,,,,,,,,,,,,,,,,,,
glow,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
good,___,,,,,,,,,,,,,,,,,,,,,,,,
goods,_____,,,,,,,,,,,,,,,,,,,,,,,,
government,_____,,,,,,,,,,,,,,,,,,,,,,,,
governor,____,,,,,,,,,,,,,,,,,,,,,,,,
govern,_____,,,,,,,,,,,,,,,,,,,,,,,,
grace,"___, ____ ___, __",,,,,,,,,,,,,,,,,,,,,,,,
graciously,________,,,,,,,,,,,,,,,,,,,,,,,,
grade,"1. ____, ___ ____2. ___, ____",,,,,,,,,,,,,,,,,,,,,,,,
gradually,______,,,,,,,,,,,,,,,,,,,,,,,,
graduate,____ ____ ______,,,,,,,,,,,,,,,,,,,,,,,,
grant,"______, ____",,,,,,,,,,,,,,,,,,,,,,,,
grasp,"1. ____, ___, ___2. ___, ___",,,,,,,,,,,,,,,,,,,,,,,,
gratify,______ ____ __ _____,,,,,,,,,,,,,,,,,,,,,,,,
grave,"1. ___2. ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
gravitation,___ ______,,,,,,,,,,,,,,,,,,,,,,,,
gravity,"_____, ______, ___ ______",,,,,,,,,,,,,,,,,,,,,,,,
greet,"____ __ ____ __ _____, ____ _____",,,,,,,,,,,,,,,,,,,,,,,,
grim,"1. ____,2. _____, ____3. _____",,,,,,,,,,,,,,,,,,,,,,,,
grime,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
grind,_____,,,,,,,,,,,,,,,,,,,,,,,,
gross,"1. _____2. ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
grow,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
growl,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
growth,_____,,,,,,,,,,,,,,,,,,,,,,,,
guarantee,"1. _______, ______2. ______",,,,,,,,,,,,,,,,,,,,,,,,
guarantied,_____,,,,,,,,,,,,,,,,,,,,,,,,
guidance,"_____, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
guide,"1. ______, ______2. _____",,,,,,,,,,,,,,,,,,,,,,,,
guess,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,H,,,,,,,,,,,,,,,,,,,,,,,,
habitat,____ ____,,,,,,,,,,,,,,,,,,,,,,,,
habitant,____,,,,,,,,,,,,,,,,,,,,,,,,
hail,"1. _____, ____ _____2. ___",,,,,,,,,,,,,,,,,,,,,,,,
halt,"1. _____, _____2. ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
hamlet,___ ___,,,,,,,,,,,,,,,,,,,,,,,,
handsome,___,,,,,,,,,,,,,,,,,,,,,,,,
hard,"___, ____",,,,,,,,,,,,,,,,,,,,,,,,
harden,______,,,,,,,,,,,,,,,,,,,,,,,,
hardly,_____,,,,,,,,,,,,,,,,,,,,,,,,
hardworking,____,,,,,,,,,,,,,,,,,,,,,,,,
harm,"1. _____, _____2. ___, _____",,,,,,,,,,,,,,,,,,,,,,,,
harmful,____,,,,,,,,,,,,,,,,,,,,,,,,
harmless,____ ____,,,,,,,,,,,,,,,,,,,,,,,,
haphazard,____,,,,,,,,,,,,,,,,,,,,,,,,
harsh,"___, _____, ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
harvest,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
haste,"______, ______, _____",,,,,,,,,,,,,,,,,,,,,,,,
haughty,____,,,,,,,,,,,,,,,,,,,,,,,,
haul,"_____, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
haunted,____,,,,,,,,,,,,,,,,,,,,,,,,
hazard,_____,,,,,,,,,,,,,,,,,,,,,,,,
haze,"____, ____ ",,,,,,,,,,,,,,,,,,,,,,,,
headache,___ ___,,,,,,,,,,,,,,,,,,,,,,,,
headgear,"_____ ___, ____",,,,,,,,,,,,,,,,,,,,,,,,
heal,"1. ____2.  ______",,,,,,,,,,,,,,,,,,,,,,,,
health,______,,,,,,,,,,,,,,,,,,,,,,,,
healthy,____,,,,,,,,,,,,,,,,,,,,,,,,
hear,_____,,,,,,,,,,,,,,,,,,,,,,,,
hearsay,_____,,,,,,,,,,,,,,,,,,,,,,,,
heart,__,,,,,,,,,,,,,,,,,,,,,,,,
hectic,"____, ___ ___",,,,,,,,,,,,,,,,,,,,,,,,
heir,____,,,,,,,,,,,,,,,,,,,,,,,,
hence,"_____, ___",,,,,,,,,,,,,,,,,,,,,,,,
herbs,"____ ____, ____ _____",,,,,,,,,,,,,,,,,,,,,,,,
herd,"1. ___, ____2. ______",,,,,,,,,,,,,,,,,,,,,,,,
hereditary,______,,,,,,,,,,,,,,,,,,,,,,,,
heredity,_____,,,,,,,,,,,,,,,,,,,,,,,,
heresy,_____,,,,,,,,,,,,,,,,,,,,,,,,
heritage,_____,,,,,,,,,,,,,,,,,,,,,,,,
hermit,____ ______,,,,,,,,,,,,,,,,,,,,,,,,
hesitate,____,,,,,,,,,,,,,,,,,,,,,,,,
hesitation,_____,,,,,,,,,,,,,,,,,,,,,,,,
hibernate,_____ ______ ____,,,,,,,,,,,,,,,,,,,,,,,,
hibernation,_____ ____,,,,,,,,,,,,,,,,,,,,,,,,
hide from,"______ _-, ______ _-",,,,,,,,,,,,,,,,,,,,,,,,
high,____,,,,,,,,,,,,,,,,,,,,,,,,
hinder,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
hint,"_____, ___",,,,,,,,,,,,,,,,,,,,,,,,
hitherto,__ __,,,,,,,,,,,,,,,,,,,,,,,,
hive,_____,,,,,,,,,,,,,,,,,,,,,,,,
hobby,_____,,,,,,,,,,,,,,,,,,,,,,,,
hoist," ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
horror,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
hospitable,"____, _____ ____",,,,,,,,,,,,,,,,,,,,,,,,
hostile,____,,,,,,,,,,,,,,,,,,,,,,,,
however,"___ ___, ____ ___",,,,,,,,,,,,,,,,,,,,,,,,
huge,"____, ____, ___",,,,,,,,,,,,,,,,,,,,,,,,
hypothesis,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
hold,"1. ______2. _____3. ______4. _____",,,,,,,,,,,,,,,,,,,,,,,,
honesty,"______, ____",,,,,,,,,,,,,,,,,,,,,,,,
honor,____,,,,,,,,,,,,,,,,,,,,,,,,
hope,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
horrify,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
horror,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
hostile,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
hostility,______,,,,,,,,,,,,,,,,,,,,,,,,
hypocrisy,______,,,,,,,,,,,,,,,,,,,,,,,,
hypocrite,____,,,,,,,,,,,,,,,,,,,,,,,,
humility,_____,,,,,,,,,,,,,,,,,,,,,,,,
hurdle,_____,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,I,,,,,,,,,,,,,,,,,,,,,,,,
icicle,____ ___,,,,,,,,,,,,,,,,,,,,,,,,
Identical,___,,,,,,,,,,,,,,,,,,,,,,,,
identity,____,,,,,,,,,,,,,,,,,,,,,,,,
identify,_____,,,,,,,,,,,,,,,,,,,,,,,,
idle,"1. ___, ___2.  ___ ___, ___ (__ ____)3. ___ (______ __ _____) ",,,,,,,,,,,,,,,,,,,,,,,,
ignite,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
ignorance,______,,,,,,,,,,,,,,,,,,,,,,,,
ignorant,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
ignore,______,,,,,,,,,,,,,,,,,,,,,,,,
ill,____,,,,,,,,,,,,,,,,,,,,,,,,
illegal,____ ____,,,,,,,,,,,,,,,,,,,,,,,,
illiterate,________,,,,,,,,,,,,,,,,,,,,,,,,
illness,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
illusion,_____,,,,,,,,,,,,,,,,,,,,,,,,
illusive,_____,,,,,,,,,,,,,,,,,,,,,,,,
illusive,"____ ____, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
illustrate,"_____, ______, ______, ______",,,,,,,,,,,,,,,,,,,,,,,,
illustration,____,,,,,,,,,,,,,,,,,,,,,,,,
image,"1. ____2.  _____3. _____",,,,,,,,,,,,,,,,,,,,,,,,
imaginary,______,,,,,,,,,,,,,,,,,,,,,,,,
imaginative,"1. ______2. ___ _____",,,,,,,,,,,,,,,,,,,,,,,,
imagine,______,,,,,,,,,,,,,,,,,,,,,,,,
imitate,_____,,,,,,,,,,,,,,,,,,,,,,,,
imitation,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
immature,"__ ___, __ ____",,,,,,,,,,,,,,,,,,,,,,,,
immediate,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
immediately,___,,,,,,,,,,,,,,,,,,,,,,,,
immense,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
immerse,______,,,,,,,,,,,,,,,,,,,,,,,,
imminent,"1. ____ _____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
immodest,"__ ____, ___ ____",,,,,,,,,,,,,,,,,,,,,,,,
immortal,__ ______,,,,,,,,,,,,,,,,,,,,,,,,
immune,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
immunity,______,,,,,,,,,,,,,,,,,,,,,,,,
impact,"1. ______2. ______3. _____",,,,,,,,,,,,,,,,,,,,,,,,
impair,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
impartial,"__________, ____ _____",,,,,,,,,,,,,,,,,,,,,,,,
impartially,_____ _____,,,,,,,,,,,,,,,,,,,,,,,,
impenetrable,____ ____,,,,,,,,,,,,,,,,,,,,,,,,
implant,"______, ______, _____",,,,,,,,,,,,,,,,,,,,,,,,
implausible,____ ____,,,,,,,,,,,,,,,,,,,,,,,,
implement,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
implicate,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
implication,"1. ___2. _____",,,,,,,,,,,,,,,,,,,,,,,,
implicit,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
implore,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
imply,_____,,,,,,,,,,,,,,,,,,,,,,,,
import,_____,,,,,,,,,,,,,,,,,,,,,,,,
importance,______,,,,,,,,,,,,,,,,,,,,,,,,
important,____,,,,,,,,,,,,,,,,,,,,,,,,
impose," _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
impregnable,"____ ____, ____ _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
impression,"____, ____ ___",,,,,,,,,,,,,,,,,,,,,,,,
impressive,_____,,,,,,,,,,,,,,,,,,,,,,,,
imprint,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
imprisonment,_____,,,,,,,,,,,,,,,,,,,,,,,,
improve,____,,,,,,,,,,,,,,,,,,,,,,,,
improvise,_____,,,,,,,,,,,,,,,,,,,,,,,,
impulsive,"__________, ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
in addition,_____,,,,,,,,,,,,,,,,,,,,,,,,
in agreement with,______ __,,,,,,,,,,,,,,,,,,,,,,,,
in case of,_____ __,,,,,,,,,,,,,,,,,,,,,,,,
in vain,_____,,,,,,,,,,,,,,,,,,,,,,,,
inaccessible,__ ____,,,,,,,,,,,,,,,,,,,,,,,,
inadequate,"____ _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
inanimate,"____, ___ ____",,,,,,,,,,,,,,,,,,,,,,,,
inasmuch,_____ _...,,,,,,,,,,,,,,,,,,,,,,,,
inaudible,___ ____ _____,,,,,,,,,,,,,,,,,,,,,,,,
incentive,"_____, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
inception,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
incidence,"______, _______",,,,,,,,,,,,,,,,,,,,,,,,
incident,_____,,,,,,,,,,,,,,,,,,,,,,,,
incite,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
inclination,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
incline,"1. _____2. _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
include,_____,,,,,,,,,,,,,,,,,,,,,,,,
inconsiderate,"__ _____, ___ ______",,,,,,,,,,,,,,,,,,,,,,,,
inconclusive,"__ __ _____, __ _____",,,,,,,,,,,,,,,,,,,,,,,,
incorporated,______,,,,,,,,,,,,,,,,,,,,,,,,
increase,"1. ______, ______2.  _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
increasingly,"____ _____, _____ ____",,,,,,,,,,,,,,,,,,,,,,,,
incurable,____ ____,,,,,,,,,,,,,,,,,,,,,,,,
indefinitely,"___ ____, _____ ____ _____, __ ______, ____",,,,,,,,,,,,,,,,,,,,,,,,
independent,"_____, ____ ____",,,,,,,,,,,,,,,,,,,,,,,,
indicate,"______, ______, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
indication,"___, ____",,,,,,,,,,,,,,,,,,,,,,,,
indifferent,____,,,,,,,,,,,,,,,,,,,,,,,,
indignant,"____ _____ ______ _____ ___, ______",,,,,,,,,,,,,,,,,,,,,,,,
indiscriminately,"___ _____, ___ _____",,,,,,,,,,,,,,,,,,,,,,,,
individual,"___, ____",,,,,,,,,,,,,,,,,,,,,,,,
induce,"1. _____2. ______",,,,,,,,,,,,,,,,,,,,,,,,
indulge,"1. ____, ____2. ______",,,,,,,,,,,,,,,,,,,,,,,,
indulgence,"1. _____,_______2. _______3. _______",,,,,,,,,,,,,,,,,,,,,,,,
industrialization,_____,,,,,,,,,,,,,,,,,,,,,,,,
industrious,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
industriously,_______,,,,,,,,,,,,,,,,,,,,,,,,
industry,______,,,,,,,,,,,,,,,,,,,,,,,,
ineligible,"__ ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
inert,____,,,,,,,,,,,,,,,,,,,,,,,,
inevitable,____ ____,,,,,,,,,,,,,,,,,,,,,,,,
inevitably,_____ ____ ____,,,,,,,,,,,,,,,,,,,,,,,,
infamous,"____ _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
infant,"_____, ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
infected,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
infer,_____,,,,,,,,,,,,,,,,,,,,,,,,
inferior,"____, ____, _____, ____ ___",,,,,,,,,,,,,,,,,,,,,,,,
infiltrate,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
infinite,_______,,,,,,,,,,,,,,,,,,,,,,,,
inflammation,"1. _______2. ____",,,,,,,,,,,,,,,,,,,,,,,,
inflict,"1. _____, ____  (___)2. _____ (______)",,,,,,,,,,,,,,,,,,,,,,,,
influence,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
inform,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
information,____,,,,,,,,,,,,,,,,,,,,,,,,
infrequently,______ ______,,,,,,,,,,,,,,,,,,,,,,,,
ingenuous,"1. ____,______2.______, _______",,,,,,,,,,,,,,,,,,,,,,,,
ingredient,_____,,,,,,,,,,,,,,,,,,,,,,,,
inhabit,"_____ , _____",,,,,,,,,,,,,,,,,,,,,,,,
inhabited,_____,,,,,,,,,,,,,,,,,,,,,,,,
inhabitant,____,,,,,,,,,,,,,,,,,,,,,,,,
inhale,"1. _____2. _____ (__ ____)",,,,,,,,,,,,,,,,,,,,,,,,
inherent,"________, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
inherit,___,,,,,,,,,,,,,,,,,,,,,,,,
inherited,______,,,,,,,,,,,,,,,,,,,,,,,,
inhibit,"____, ____, _____, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
inhibition,"____, _____ ____",,,,,,,,,,,,,,,,,,,,,,,,
ingenious,"_____, _____, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
initial,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
initially,______,,,,,,,,,,,,,,,,,,,,,,,,
initials,____ _____,,,,,,,,,,,,,,,,,,,,,,,,
initiate,_____,,,,,,,,,,,,,,,,,,,,,,,,
injection,_____,,,,,,,,,,,,,,,,,,,,,,,,
initiative,_____,,,,,,,,,,,,,,,,,,,,,,,,
injure,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
injury,_____,,,,,,,,,,,,,,,,,,,,,,,,
innate,____,,,,,,,,,,,,,,,,,,,,,,,,
innocence,______,,,,,,,,,,,,,,,,,,,,,,,,
innovate,"____, ______",,,,,,,,,,,,,,,,,,,,,,,,
innovation,_____,,,,,,,,,,,,,,,,,,,,,,,,
inoffensive,_____ ____ __ _____,,,,,,,,,,,,,,,,,,,,,,,,
inquiry,_____,,,,,,,,,,,,,,,,,,,,,,,,
insatiable,"___ ____ ____ ____, _____ ____",,,,,,,,,,,,,,,,,,,,,,,,
insensitive,"__ _____, __ ____",,,,,,,,,,,,,,,,,,,,,,,,
insert,______,,,,,,,,,,,,,,,,,,,,,,,,
inside,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
insight,_____,,,,,,,,,,,,,,,,,,,,,,,,
insist,"_____ __ ___ _____, ______",,,,,,,,,,,,,,,,,,,,,,,,
insistence,_______,,,,,,,,,,,,,,,,,,,,,,,,
inspect,"____, _____, _____ ______",,,,,,,,,,,,,,,,,,,,,,,,
inspection,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
inspire,_____ _____,,,,,,,,,,,,,,,,,,,,,,,,
inspiration,_____,,,,,,,,,,,,,,,,,,,,,,,,
installation,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
instant,"___, _____",,,,,,,,,,,,,,,,,,,,,,,,
instead,_____,,,,,,,,,,,,,,,,,,,,,,,,
instigate,"_____, _____, ______ (_________ ______)",,,,,,,,,,,,,,,,,,,,,,,,
institute,"1. _____, _____2. ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
instrument,___,,,,,,,,,,,,,,,,,,,,,,,,
insufficient,____ _____,,,,,,,,,,,,,,,,,,,,,,,,
insulate,_____,,,,,,,,,,,,,,,,,,,,,,,,
insulation,_____,,,,,,,,,,,,,,,,,,,,,,,,
insult,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
insuperable,____ _____ ____,,,,,,,,,,,,,,,,,,,,,,,,
insure,______,,,,,,,,,,,,,,,,,,,,,,,,
integrate,"1. ____, ____2. ______",,,,,,,,,,,,,,,,,,,,,,,,
integration,"_________, _____",,,,,,,,,,,,,,,,,,,,,,,,
intellectual,"_____, __________",,,,,,,,,,,,,,,,,,,,,,,,
intense,"____, __ _____, _____, ___",,,,,,,,,,,,,,,,,,,,,,,,
intensify,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
intent,"1. _____, _____2.  _____",,,,,,,,,,,,,,,,,,,,,,,,
intention,"_____, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
intentional,______ _____,,,,,,,,,,,,,,,,,,,,,,,,
interaction,_________,,,,,,,,,,,,,,,,,,,,,,,,
interest,"1. _____2. _____, ________",,,,,,,,,,,,,,,,,,,,,,,,
interesting,______,,,,,,,,,,,,,,,,,,,,,,,,
interfere,_____,,,,,,,,,,,,,,,,,,,,,,,,
interim,"1.____, ____2. _____ ______",,,,,,,,,,,,,,,,,,,,,,,,
intermission,_____,,,,,,,,,,,,,,,,,,,,,,,,
interject,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
internal,_____,,,,,,,,,,,,,,,,,,,,,,,,
interpret,____,,,,,,,,,,,,,,,,,,,,,,,,
interpretation,______,,,,,,,,,,,,,,,,,,,,,,,,
interrupt,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
intersection,"____, _______",,,,,,,,,,,,,,,,,,,,,,,,
interval,_____,,,,,,,,,,,,,,,,,,,,,,,,
intervene,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
intervention,_______,,,,,,,,,,,,,,,,,,,,,,,,
interview,_____,,,,,,,,,,,,,,,,,,,,,,,,
intolerable,____ ____,,,,,,,,,,,,,,,,,,,,,,,,
intricacy,_______,,,,,,,,,,,,,,,,,,,,,,,,
intrigue,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
introduce,_____,,,,,,,,,,,,,,,,,,,,,,,,
introduction,"1. ____2. ____, ______",,,,,,,,,,,,,,,,,,,,,,,,
intrude,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
intrusion,_______,,,,,,,,,,,,,,,,,,,,,,,,
invade,_____,,,,,,,,,,,,,,,,,,,,,,,,
invasion,_____,,,,,,,,,,,,,,,,,,,,,,,,
invent,______,,,,,,,,,,,,,,,,,,,,,,,,
invention,_____,,,,,,,,,,,,,,,,,,,,,,,,
inventor,_____,,,,,,,,,,,,,,,,,,,,,,,,
inventory,_____ ____,,,,,,,,,,,,,,,,,,,,,,,,
invest,______,,,,,,,,,,,,,,,,,,,,,,,,
investment,_____,,,,,,,,,,,,,,,,,,,,,,,,
investigate,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
investigation,_____,,,,,,,,,,,,,,,,,,,,,,,,
investment,_____,,,,,,,,,,,,,,,,,,,,,,,,
invisible,____ ____,,,,,,,,,,,,,,,,,,,,,,,,
invisibly,_____ __ ____,,,,,,,,,,,,,,,,,,,,,,,,
invite,______,,,,,,,,,,,,,,,,,,,,,,,,
involve,____,,,,,,,,,,,,,,,,,,,,,,,,
irregular,"__ ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
irrigation,_____,,,,,,,,,,,,,,,,,,,,,,,,
irony,"_______, ___ __, _____",,,,,,,,,,,,,,,,,,,,,,,,
isolate,_____,,,,,,,,,,,,,,,,,,,,,,,,
isolation,_____,,,,,,,,,,,,,,,,,,,,,,,,
issue,"1. ______, ______ ____2. ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
item,____,,,,,,,,,,,,,,,,,,,,,,,,
,J,,,,,,,,,,,,,,,,,,,,,,,,
jag,"1. _____ _____ _______2. _____3. _____",,,,,,,,,,,,,,,,,,,,,,,,
jagged,_____,,,,,,,,,,,,,,,,,,,,,,,,
jealousy,____,,,,,,,,,,,,,,,,,,,,,,,,
jest,"_____, ____, ___",,,,,,,,,,,,,,,,,,,,,,,,
jester,____ ___,,,,,,,,,,,,,,,,,,,,,,,,
job,_____,,,,,,,,,,,,,,,,,,,,,,,,
join,______,,,,,,,,,,,,,,,,,,,,,,,,
joint venture,______ _____,,,,,,,,,,,,,,,,,,,,,,,,
joy,____,,,,,,,,,,,,,,,,,,,,,,,,
judge,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
judgment,_____,,,,,,,,,,,,,,,,,,,,,,,,
just,"1. ____, __ ___2. __ ____3. ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
justification,_____,,,,,,,,,,,,,,,,,,,,,,,,
justified,_____,,,,,,,,,,,,,,,,,,,,,,,,
justify,______,,,,,,,,,,,,,,,,,,,,,,,,
junction,"____, _______",,,,,,,,,,,,,,,,,,,,,,,,
jurisdiction,"____ _____, _____ _____",,,,,,,,,,,,,,,,,,,,,,,,
juvenile,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
juxtapose,____ __ ___ __,,,,,,,,,,,,,,,,,,,,,,,,
,K,,,,,,,,,,,,,,,,,,,,,,,,
keen,"1. __, ____, ____2. ____3. ____",,,,,,,,,,,,,,,,,,,,,,,,
kernel,_____,,,,,,,,,,,,,,,,,,,,,,,,
kindle,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
kit,____,,,,,,,,,,,,,,,,,,,,,,,,
knot,___,,,,,,,,,,,,,,,,,,,,,,,,
know,____,,,,,,,,,,,,,,,,,,,,,,,,
knowledge,___,,,,,,,,,,,,,,,,,,,,,,,,
known,____,,,,,,,,,,,,,,,,,,,,,,,,
,L,,,,,,,,,,,,,,,,,,,,,,,,
label,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
labor,"1. _____, ______2. ____3. _____",,,,,,,,,,,,,,,,,,,,,,,,
lack,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
